n_estimators,max_depth,min_samples_leaf,rmse_mean,rmse_std,auc_mean,auc_std,acc_mean,acc_std,tpr05_mean,tpr05_std,tpr01_mean,tpr01_std,seeds
500,-1,1,3858.8336,19.6202,0.6534,0.0068,0.6174,0.0062,0.0449,0.0048,0.0052,0.0018,3
400,-1,1,3861.2673,21.2323,0.6522,0.0098,0.6197,0.0047,0.0439,0.0031,0.0073,0.0036,3
300,16,1,3865.4568,39.7420,0.6513,0.0066,0.6182,0.0089,0.0449,0.0096,0.0073,0.0072,3
250,14,1,3856.5511,49.3737,0.6525,0.0042,0.6205,0.0054,0.0428,0.0079,0.0084,0.0065,3
200,12,1,3854.5812,32.4108,0.6533,0.0082,0.6213,0.0036,0.0481,0.0127,0.0094,0.0054,3
150,10,1,3838.7105,27.1983,0.6466,0.0080,0.6119,0.0075,0.0439,0.0094,0.0063,0.0031,3
120,10,2,3880.3552,50.1884,0.6120,0.0101,0.4867,0.0153,0.0449,0.0213,0.0031,0.0000,3
100,8,2,3881.8482,63.7482,0.6054,0.0088,0.4757,0.0095,0.0449,0.0131,0.0042,0.0048,3
80,8,2,3872.8432,99.7737,0.6022,0.0086,0.4710,0.0129,0.0470,0.0137,0.0052,0.0065,3
60,6,2,3931.1020,80.6011,0.5807,0.0059,0.4171,0.0249,0.0408,0.0083,0.0021,0.0018,3
50,6,4,3866.7228,25.6131,0.5703,0.0033,0.3920,0.0062,0.0679,0.0231,0.0052,0.0018,3
